Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Czechia	66.1	66.1	66.1	66.1	66.1	66.1	61.98	57.86	53.739999999999995	49.62	45.5	44.72	43.94	43.160000000000004	42.38	41.6	45.82	50.040000000000006	54.260000000000005	58.480000000000004	62.7	68.2	68.4	69.3	72.5	68.9	66.8	62.1	63.1
Ivory Coast	44.5	41.2	37.9	34.6	31.3	28.0	26.88	25.759999999999998	24.64	23.52	22.4	21.38	20.36	19.34	18.32	17.3	19.22	21.14	23.06	24.979999999999997	26.9	27.4	27.9	29.3	30.5	32.3	34.5	37.4	39.1
Denmark	60.8	59.16	57.519999999999996	55.879999999999995	54.24	52.6	70.32	88.03999999999999	105.75999999999999	123.47999999999999	141.2	149.94	158.68	167.42000000000002	176.16	184.9	194.74	204.58	214.42000000000002	224.26	234.1	237.8	230.5	214.6	218.1	213.6	211.5	197.3	200.6
Djibouti	40.6	42.78	44.96	47.14	49.32	51.5	48.42	45.34	42.260000000000005	39.18	36.1	33.78	31.46	29.14	26.82	24.5	26.740000000000002	28.98	31.220000000000002	33.46	35.7	34.1	35.4	37.0	36.1	35.8	34.6	35.0	37.2
Dominica	49.2	51.22	53.24	55.26	57.28	59.3	59.76	60.22	60.68	61.14	61.6	59.82	58.04	56.260000000000005	54.480000000000004	52.7	52.38	52.06	51.74	51.42	51.1	55.9	61.6	63.7	60.1	51.3	34.0	36.7	55.5
Dominican Republic	31.5	29.16	26.82	24.48	22.14	19.8	22.14	24.48	26.82	29.16	31.5	31.16	30.82	30.48	30.14	29.8	31.76	33.72	35.68	37.64	39.6	38.8	41.4	42.4	44.1	48.3	50.9	51.9	50.3
Ecuador	10.5	12.56	14.620000000000001	16.68	18.740000000000002	20.8	22.76	24.720000000000002	26.68	28.64	30.6	28.3	26.0	23.700000000000003	21.400000000000002	19.1	20.080000000000002	21.060000000000002	22.04	23.02	24.0	25.0	27.9	29.4	31.4	31.5	35.6	37.7	39.8
Egypt	100.1	95.14	90.17999999999999	85.22	80.25999999999999	75.3	78.03999999999999	80.78	83.52	86.26	89.0	90.8	92.6	94.4	96.2	98.0	92.28	86.56	80.84	75.12	69.4	74.6	73.1	81.2	87.1	95.3	119.6	99.0	91.8
El Salvador	24.0	27.82	31.64	35.46	39.28	43.1	46.24	49.38	52.519999999999996	55.66	58.8	60.66	62.519999999999996	64.38	66.24	68.1	69.64	71.17999999999999	72.72	74.25999999999999	75.8	75.5	73.7	79.5	81.7	85.8	87.9	88.9	88.9
Equatorial Guinea	36.8	35.32	33.839999999999996	32.36	30.88	29.4	24.46	19.52	14.58	9.64	4.7	-0.54	-5.78	-11.02	-16.26	-21.5	-16.98	-12.459999999999999	-7.939999999999998	-3.419999999999998	1.1	-2.8	-2.7	-2.5	3.3	12.0	21.1	21.5	20.8
Eritrea	50.1	50.1	50.1	50.1	50.1	50.1	70.18	90.26	110.34	130.42000000000002	150.5	145.54	140.58	135.62	130.66	125.7	123.44	121.18	118.92	116.66000000000001	114.4	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0
Estonia	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	73.7	79.4	85.1	90.8	96.5	82.5	75.3	71.1	70.1	75.8	78.9	72.9	71.3
Swaziland	10.4	10.56	10.72	10.879999999999999	11.04	11.2	10.92	10.64	10.36	10.08	9.8	10.64	11.48	12.32	13.16	14.0	14.08	14.16	14.24	14.32	14.4	21.9	16.3	15.3	16.6	16.9	21.7	24.0	27.8
