Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
China	1727.7	1998.22	2268.7400000000002	2539.26	2809.78	3080.3	3396.0600000000004	3711.82	4027.5800000000004	4343.34	4659.1	5214.26	5769.42	6324.58	6879.74	7434.9	8489.039999999999	9543.18	10597.32	11651.46	12705.6	13919.1	15013.1	16179.4	17360.5	18559.3	19809.5	21148.1	22543.8
Colombia	255.8	268.34000000000003	280.88	293.42	305.96	318.5	321.48	324.46	327.44	330.41999999999996	333.4	346.38	359.36	372.34000000000003	385.32	398.3	417.74	437.18	456.62	476.06	495.5	532.0	552.7	578.0	605.3	623.2	636.2	644.8	662.0
Comoros	1.1	1.1	1.1	1.1	1.1	1.1	1.1400000000000001	1.1800000000000002	1.22	1.26	1.3	1.34	1.3800000000000001	1.42	1.46	1.5	1.54	1.58	1.6199999999999999	1.66	1.7	1.7	1.8	1.9	1.9	1.9	2.0	2.0	2.1
Republic of the Congo	12.5	12.56	12.620000000000001	12.68	12.74	12.8	13.14	13.48	13.82	14.16	14.5	15.120000000000001	15.74	16.36	16.98	17.6	18.64	19.68	20.72	21.76	22.8	23.5	24.4	25.3	27.0	27.7	26.9	26.1	26.3
Democratic Republic of the Congo	48.0	44.98	41.96	38.94	35.92	32.9	31.72	30.54	29.36	28.18	27.0	28.1	29.2	30.3	31.4	32.5	34.52	36.54	38.56	40.58	42.6	45.5	48.8	52.9	57.9	61.9	63.4	65.8	69.5
Costa Rica	24.2	25.64	27.08	28.52	29.96	31.4	32.879999999999995	34.36	35.839999999999996	37.32	38.8	40.4	42.0	43.599999999999994	45.199999999999996	46.8	49.26	51.72	54.18	56.64	59.1	61.6	64.6	66.1	68.4	70.9	73.9	76.4	78.4
Croatia	58.9	58.9	58.9	58.9	58.9	58.9	61.06	63.22	65.38	67.54	69.7	73.08	76.46	79.84	83.22	86.6	87.11999999999999	87.64	88.16	88.68	89.2	88.9	86.8	86.4	86.3	88.4	91.5	94.2	96.7
Cyprus	13.0	13.72	14.440000000000001	15.16	15.88	16.6	17.36	18.12	18.88	19.64	20.4	21.279999999999998	22.16	23.04	23.92	24.8	25.46	26.12	26.78	27.44	28.1	28.2	27.4	25.8	25.5	26.0	27.3	28.5	29.6
Czechia	206.9	205.32	203.74	202.16	200.58	199.0	202.66	206.32	209.98000000000002	213.64000000000001	217.3	226.5	235.70000000000002	244.9	254.10000000000002	263.3	270.04	276.78000000000003	283.52	290.26	297.0	302.3	299.8	298.4	306.5	322.8	330.7	345.1	355.1
Ivory Coast	39.2	39.78	40.36	40.940000000000005	41.52	42.1	43.52	44.940000000000005	46.36	47.78	49.2	49.2	49.2	49.2	49.2	49.2	50.34	51.480000000000004	52.62	53.76	54.9	52.5	58.1	63.3	68.8	74.9	80.9	87.1	93.6
