Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Hungary	19203.0	19203.0	19203.0	19203.0	19203.0	19203.0	19721.2	20239.4	20757.6	21275.8	21794.0	22573.8	23353.6	24133.4	24913.2	25693.0	25786.6	25880.2	25973.8	26067.4	26161.0	26794.0	26856.0	27752.0	28366.0	29658.0	31311.0	32248.0	33905.0
Iceland	34440.0	34440.0	34440.0	34440.0	34440.0	34440.0	35603.2	36766.4	37929.6	39092.8	40256.0	41476.2	42696.4	43916.6	45136.8	46357.0	44792.4	43227.8	41663.2	40098.6	38534.0	40690.0	42109.0	47152.0	47610.0	49228.0	52618.0	54760.0	55827.0
India	3353.0	3353.0	3353.0	3353.0	3353.0	3353.0	3502.6	3652.2	3801.8	3951.4	4101.0	4303.6	4506.2	4708.8	4911.4	5114.0	5455.0	5796.0	6137.0	6478.0	6819.0	7169.0	7517.0	7886.0	8367.0	8919.0	9533.0	10097.0	10713.0
Indonesia	8036.0	8036.0	8036.0	8036.0	8036.0	8036.0	7956.8	7877.6	7798.4	7719.2	7640.0	7948.8	8257.6	8566.4	8875.2	9184.0	9563.4	9942.8	10322.2	10701.6	11081.0	11520.0	11985.0	12539.0	13008.0	13178.0	13792.0	14219.0	14788.0
Iran	22033.0	22033.0	22033.0	22033.0	22033.0	22033.0	22192.8	22352.6	22512.4	22672.2	22832.0	23473.6	24115.2	24756.8	25398.4	26040.0	26934.6	27829.2	28723.8	29618.4	30513.0	31109.0	28751.0	28436.0	29356.0	28192.0	31049.0	31783.0	30250.0
Iraq	12035.0	12035.0	12035.0	12035.0	12035.0	12035.0	14013.8	15992.6	17971.4	19950.2	21929.0	21469.6	21010.2	20550.8	20091.4	19632.0	20353.6	21075.2	21796.8	22518.4	23240.0	23913.0	26423.0	26915.0	26238.0	25918.0	28571.0	27273.0	26746.0
Ireland	33094.0	33094.0	33094.0	33094.0	33094.0	33094.0	35531.0	37968.0	40405.0	42842.0	45279.0	46620.4	47961.8	49303.2	50644.6	51986.0	50415.8	48845.6	47275.4	45705.2	44135.0	44174.0	43727.0	45852.0	49768.0	55416.0	61247.0	63257.0	66587.0
Israel	30547.0	30547.0	30547.0	30547.0	30547.0	30547.0	30768.0	30989.0	31210.0	31431.0	31652.0	31858.8	32065.6	32272.4	32479.2	32686.0	33658.4	34630.8	35603.2	36575.6	37548.0	38828.0	38207.0	38796.0	40155.0	39966.0	41225.0	41806.0	42791.0
Italy	46924.0	46924.0	46924.0	46924.0	46924.0	46924.0	47773.8	48623.6	49473.4	50323.2	51173.0	51278.0	51383.0	51488.0	51593.0	51698.0	50750.0	49802.0	48854.0	47906.0	46958.0	46929.0	45123.0	44231.0	43777.0	44170.0	44905.0	45692.0	46357.0
Jamaica	9919.0	9919.0	9919.0	9919.0	9919.0	9919.0	9881.4	9843.8	9806.2	9768.6	9731.0	9787.8	9844.6	9901.4	9958.2	10015.0	9901.6	9788.2	9674.8	9561.4	9448.0	9557.0	9627.0	9468.0	9481.0	9411.0	9319.0	9487.0	9559.0
Japan	44179.0	44179.0	44179.0	44179.0	44179.0	44179.0	44633.6	45088.2	45542.8	45997.4	46452.0	46944.2	47436.4	47928.6	48420.8	48913.0	49154.6	49396.2	49637.8	49879.4	50121.0	49943.0	50537.0	51540.0	51526.0	52208.0	51927.0	52861.0	53387.0
Jordan	11220.0	11220.0	11220.0	11220.0	11220.0	11220.0	11479.6	11739.2	11998.8	12258.4	12518.0	13082.2	13646.4	14210.6	14774.8	15339.0	15380.2	15421.4	15462.6	15503.8	15545.0	15089.0	14655.0	14465.0	14231.0	14017.0	13669.0	13661.0	13668.0
Kazakhstan	10593.0	10593.0	10593.0	10593.0	10593.0	10593.0	11065.0	11537.0	12009.0	12481.0	12953.0	14405.6	15858.2	17310.8	18763.4	20216.0	20720.4	21224.8	21729.2	22233.6	22738.0	22846.0	23813.0	26107.0	27595.0	29502.0	28090.0	28026.0	28198.0
Kenya	2452.0	2452.0	2452.0	2452.0	2452.0	2452.0	2446.2	2440.4	2434.6	2428.8	2423.0	2467.0	2511.0	2555.0	2599.0	2643.0	2682.4	2721.8	2761.2	2800.6	2840.0	2938.0	2969.0	3032.0	3093.0	3189.0	3300.0	3358.0	3490.0
South Korea	24033.0	24033.0	24033.0	24033.0	24033.0	24033.0	25185.0	26337.0	27489.0	28641.0	29793.0	31110.6	32428.2	33745.8	35063.4	36381.0	37508.4	38635.8	39763.2	40890.6	42018.0	43384.0	44132.0	45016.0	46092.0	47241.0	48110.0	49115.0	50242.0
Kuwait	128822.0	128822.0	128822.0	128822.0	128822.0	128822.0	124875.4	120928.8	116982.2	113035.6	109089.0	114167.2	119245.4	124323.6	129401.8	134480.0	128311.2	122142.4	115973.6	109804.8	103636.0	106042.0	108030.0	102898.0	98957.0	93316.0	93274.0	89521.0	85615.0
Kyrgyzstan	2063.0	2063.0	2063.0	2063.0	2063.0	2063.0	2141.2	2219.4	2297.6	2375.8	2454.0	2549.2	2644.4	2739.6	2834.8	2930.0	3034.6	3139.2	3243.8	3348.4	3453.0	3460.0	3686.0	3957.0	4074.0	4097.0	4171.0	4300.0	4465.0
Laos	2340.0	2340.0	2340.0	2340.0	2340.0	2340.0	2425.0	2510.0	2595.0	2680.0	2765.0	2912.0	3059.0	3206.0	3353.0	3500.0	3760.4	4020.8	4281.2	4541.6	4802.0	5052.0	5433.0	5811.0	6211.0	6557.0	6902.0	7190.0	7595.0
Latvia	10725.0	10725.0	10725.0	10725.0	10725.0	10725.0	11446.6	12168.2	12889.8	13611.4	14333.0	15897.8	17462.6	19027.4	20592.2	22157.0	22133.6	22110.2	22086.8	22063.4	22040.0	23796.0	24838.0	25919.0	26767.0	27715.0	28332.0	29822.0	31520.0
Lebanon	16797.0	16797.0	16797.0	16797.0	16797.0	16797.0	16967.6	17138.2	17308.8	17479.4	17650.0	17517.2	17384.4	17251.6	17118.8	16986.0	18083.8	19181.6	20279.4	21377.2	22475.0	21733.0	20987.0	20174.0	19282.0	18575.0	18216.0	18330.0	17529.0
