Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Chad	791.0	791.0	791.0	791.0	791.0	791.0	781.0	771.0	761.0	751.0	741.0	822.2	903.4	984.6	1065.8	1147.0	1210.6	1274.2	1337.8	1401.4	1465.0	1429.0	1510.0	1511.0	1572.0	1599.0	1470.0	1392.0	1377.0
Chile	6175.0	6175.0	6175.0	6175.0	6175.0	6175.0	6488.6	6802.2	7115.8	7429.4	7743.0	8078.6	8414.2	8749.8	9085.4	9421.0	9890.4	10359.8	10829.2	11298.6	11768.0	12750.0	13586.0	14078.0	14429.0	14733.0	14929.0	14801.0	15212.0
China	1973.0	1973.0	1973.0	1973.0	1973.0	1973.0	2149.4	2325.8	2502.2	2678.6	2855.0	3160.6	3466.2	3771.8	4077.4	4383.0	5008.6	5634.2	6259.8	6885.4	7511.0	8141.0	8796.0	9368.0	10086.0	10658.0	11294.0	11983.0	12665.0
Colombia	5629.0	5629.0	5629.0	5629.0	5629.0	5629.0	5682.0	5735.0	5788.0	5841.0	5894.0	5988.4	6082.8	6177.2	6271.6	6366.0	6741.4	7116.8	7492.2	7867.6	8243.0	8773.0	9095.0	9522.0	9607.0	10254.0	10362.0	10270.0	10235.0
Comoros	1430.0	1430.0	1430.0	1430.0	1430.0	1430.0	1441.0	1452.0	1463.0	1474.0	1485.0	1500.4	1515.8	1531.2	1546.6	1562.0	1599.2	1636.4	1673.6	1710.8	1748.0	1791.0	1801.0	1854.0	1863.0	1847.0	1859.0	1877.0	1812.0
Republic of the Congo	3287.0	3287.0	3287.0	3287.0	3287.0	3287.0	3218.2	3149.4	3080.6	3011.8	2943.0	2846.4	2749.8	2653.2	2556.6	2460.0	2664.6	2869.2	3073.8	3278.4	3483.0	3410.0	4065.0	4371.0	5088.0	6539.0	5798.0	5210.0	4989.0
Democratic Republic of the Congo	600.0	600.0	600.0	600.0	600.0	600.0	576.6	553.2	529.8	506.4	483.0	485.8	488.6	491.4	494.2	497.0	507.0	517.0	527.0	537.0	547.0	556.0	568.0	571.0	608.0	640.0	679.0	673.0	684.0
Costa Rica	4773.0	4773.0	4773.0	4773.0	4773.0	4773.0	4929.0	5085.0	5241.0	5397.0	5553.0	5957.6	6362.2	6766.8	7171.4	7576.0	7842.8	8109.6	8376.4	8643.2	8910.0	9403.0	10044.0	10097.0	10014.0	10429.0	10225.0	10396.0	10565.0
Croatia	8988.0	8988.0	8988.0	8988.0	8988.0	8988.0	9649.4	10310.8	10972.2	11633.6	12295.0	13080.6	13866.2	14651.8	15437.4	16223.0	16349.0	16475.0	16601.0	16727.0	16853.0	16547.0	16287.0	16609.0	16876.0	17677.0	17869.0	18853.0	19442.0
Cuba	1891.0	1891.0	1891.0	1891.0	1891.0	1891.0	1974.4	2057.8	2141.2	2224.6	2308.0	2461.2	2614.4	2767.6	2920.8	3074.0	3328.6	3583.2	3837.8	4092.4	4347.0	4487.0	4582.0	4703.0	4734.0	4921.0	4922.0	4989.0	5035.0
