Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Qatar	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	19.2	19.0	18.8	18.8	18.8	18.8	18.8
Russia	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	49.6	43.8	44.3	46.2	47.2	46.9	47.9	48.1	48.1
San Marino	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5
Serbia	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.5	42.7	41.8	43.2	41.7	41.7	41.7	41.7
Slovakia	44.6	44.6	44.6	44.6	44.6	44.6	44.6	44.6	44.6	44.6	44.6	44.14	43.68	43.22	42.76	42.3	42.699999999999996	43.099999999999994	43.5	43.9	44.3	44.0	43.9	43.8	44.1	44.7	45.5	46.9	47.4
Slovenia	61.7	61.7	61.7	61.7	61.7	61.7	61.7	61.7	61.7	61.7	61.7	61.440000000000005	61.18	60.92	60.66	60.4	61.12	61.839999999999996	62.56	63.28	64.0	62.8	63.0	62.3	61.1	60.6	61.2	61.0	61.2
Spain	58.4	58.4	58.4	58.4	58.4	58.4	58.4	58.4	58.4	58.4	58.4	57.9	57.4	56.9	56.4	55.9	56.26	56.62	56.980000000000004	57.34	57.7	57.1	55.6	55.1	55.0	55.1	54.5	53.9	53.9
Sweden	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	47.94	47.88	47.82	47.760000000000005	47.7	47.78	47.86	47.940000000000005	48.02	48.1	48.8	50.3	50.6	50.2	49.1	49.1	49.1	49.5
Switzerland	62.4	62.4	62.4	62.4	62.4	62.4	62.4	62.4	62.4	62.4	62.4	62.46	62.52	62.58	62.64	62.7	62.760000000000005	62.82	62.88	62.94	63.0	64.0	65.0	65.3	65.0	65.4	65.4	65.4	64.5
Turkey	55.3	55.3	55.3	55.3	55.3	55.3	55.3	55.3	55.3	55.3	55.3	53.04	50.78	48.519999999999996	46.26	44.0	44.1	44.2	44.3	44.4	44.5	43.2	44.4	43.7	45.1	45.6	50.3	47.6	47.4
Ukraine	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	50.2	46.800000000000004	43.400000000000006	40.0	36.6	38.9	38.9
United Kingdom	56.3	56.3	56.3	56.3	56.3	56.3	56.3	56.3	56.3	56.3	56.3	56.44	56.58	56.72	56.86	57.0	57.54	58.08	58.620000000000005	59.160000000000004	59.7	58.6	58.5	58.5	57.5	57.6	57.8	57.9	58.2
United States	61.6	61.6	61.6	61.6	61.6	61.6	61.6	61.6	61.6	61.6	61.6	60.980000000000004	60.36	59.74	59.12	58.5	58.16	57.82	57.48	57.14	56.8	56.8	56.7	56.3	56.4	56.9	56.8	57.0	56.5
Venezuela	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6	29.6
Zimbabwe	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.0	41.333333333333336	45.666666666666664	50.0	50.0	50.0	50.0	50.0
