Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Canada	31386.0	31565.0	31744.0	31923.0	32102.0	32281.0	33331.6	34382.2	35432.8	36483.4	37534.0	38138.6	38743.2	39347.8	39952.4	40557.0	40585.6	40614.2	40642.8	40671.4	40700.0	41569.0	41842.0	42362.0	43138.0	43106.0	43089.0	43852.0	44051.0
Central African Republic	983.0	966.2	949.4	932.6	915.8	899.0	889.4	879.8	870.2	860.6	851.0	848.8	846.6	844.4	842.2	840.0	868.4	896.8	925.2	953.6	982.0	1016.0	1063.0	678.0	677.0	703.0	731.0	754.0	775.0
Chad	1109.0	1095.2	1081.4	1067.6	1053.8	1040.0	1030.4	1020.8	1011.2	1001.6	992.0	1151.2	1310.4	1469.6	1628.8	1788.0	1813.4	1838.8	1864.2	1889.6	1915.0	1853.0	1951.0	1994.0	2062.0	2052.0	1864.0	1754.0	1746.0
Chile	8970.0	9596.2	10222.4	10848.6	11474.8	12101.0	12529.0	12957.0	13385.0	13813.0	14241.0	14786.8	15332.6	15878.4	16424.2	16970.0	17448.6	17927.2	18405.8	18884.4	19363.0	20343.0	21219.0	21862.0	22014.0	22257.0	22331.0	22297.0	22874.0
China	1522.0	1729.0	1936.0	2143.0	2350.0	2557.0	2783.6	3010.2	3236.8	3463.4	3690.0	4092.6	4495.2	4897.8	5300.4	5703.0	6462.0	7221.0	7980.0	8739.0	9498.0	10355.0	11115.0	11920.0	12725.0	13535.0	14369.0	15254.0	16187.0
Colombia	7729.0	7932.4	8135.8	8339.2	8542.6	8746.0	8679.4	8612.8	8546.2	8479.6	8413.0	8598.2	8783.4	8968.6	9153.8	9339.0	9662.6	9986.2	10309.8	10633.4	10957.0	11650.0	11996.0	12431.0	12888.0	13115.0	13207.0	13186.0	13333.0
Comoros	2581.0	2528.6	2476.2	2423.8	2371.4	2319.0	2333.0	2347.0	2361.0	2375.0	2389.0	2385.8	2382.6	2379.4	2376.2	2373.0	2383.6	2394.2	2404.8	2415.4	2426.0	2465.0	2483.0	2533.0	2526.0	2494.0	2491.0	2501.0	2514.0
Republic of the Congo	5323.0	5205.8	5088.6	4971.4	4854.2	4737.0	4713.8	4690.6	4667.4	4644.2	4621.0	4670.4	4719.8	4769.2	4818.6	4868.0	4959.0	5050.0	5141.0	5232.0	5323.0	5354.0	5415.0	5465.0	5695.0	5702.0	5404.0	5103.0	5024.0
Democratic Republic of the Congo	1387.0	1268.0	1149.0	1030.0	911.0	792.0	748.2	704.4	660.6	616.8	573.0	577.2	581.4	585.6	589.8	594.0	607.2	620.4	633.6	646.8	660.0	682.0	706.0	741.0	785.0	812.0	805.0	808.0	827.0
Costa Rica	7744.0	7968.2	8192.4	8416.6	8640.8	8865.0	9049.2	9233.4	9417.6	9601.8	9786.0	10014.6	10243.2	10471.8	10700.4	10929.0	11325.0	11721.0	12117.0	12513.0	12909.0	13303.0	13778.0	13930.0	14259.0	14617.0	15077.0	15430.0	15685.0
Croatia	12754.0	12754.0	12754.0	12754.0	12754.0	12754.0	13321.4	13888.8	14456.2	15023.6	15591.0	16493.4	17395.8	18298.2	19200.6	20103.0	20234.0	20365.0	20496.0	20627.0	20758.0	20759.0	20343.0	20299.0	20365.0	21026.0	21922.0	22835.0	23637.0
Cyprus	22472.0	23082.4	23692.8	24303.2	24913.6	25524.0	26292.8	27061.6	27830.4	28599.2	29368.0	30220.2	31072.4	31924.6	32776.8	33629.0	33685.8	33742.6	33799.4	33856.2	33913.0	33192.0	31750.0	29978.0	29912.0	30673.0	32002.0	33048.0	33048.0
Czechia	20023.0	19872.6	19722.2	19571.8	19421.4	19271.0	19655.6	20040.2	20424.8	20809.4	21194.0	22111.4	23028.8	23946.2	24863.6	25781.0	26295.4	26809.8	27324.2	27838.6	28353.0	28797.0	28527.0	28380.0	29120.0	30605.0	31295.0	32571.0	33414.0
Ivory Coast	3286.0	3222.4	3158.8	3095.2	3031.6	2968.0	2972.2	2976.4	2980.6	2984.8	2989.0	2927.2	2865.4	2803.6	2741.8	2680.0	2678.6	2677.2	2675.8	2674.4	2673.0	2495.0	2696.0	2864.0	3039.0	3225.0	3395.0	3565.0	3733.0
Denmark	33786.0	34476.4	35166.8	35857.2	36547.6	37238.0	38258.0	39278.0	40298.0	41318.0	42338.0	42784.0	43230.0	43676.0	44122.0	44568.0	44454.0	44340.0	44226.0	44112.0	43998.0	44403.0	44337.0	44564.0	45057.0	45788.0	46522.0	47270.0	47673.0
Djibouti	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0	2744.0
Dominica	6658.0	6762.4	6866.8	6971.2	7075.6	7180.0	7390.0	7600.0	7810.0	8020.0	8230.0	8324.0	8418.0	8512.0	8606.0	8700.0	9015.6	9331.2	9646.8	9962.4	10278.0	10250.0	10134.0	10066.0	10497.0	10215.0	10455.0	9438.0	9467.0
Dominican Republic	5516.0	5728.2	5940.4	6152.6	6364.8	6577.0	6919.4	7261.8	7604.2	7946.6	8289.0	8461.2	8633.4	8805.6	8977.8	9150.0	9593.0	10036.0	10479.0	10922.0	11365.0	11581.0	11754.0	12183.0	12963.0	13717.0	14461.0	14953.0	15821.0
Ecuador	7463.0	7513.6	7564.2	7614.8	7665.4	7716.0	7644.2	7572.4	7500.6	7428.8	7357.0	7595.8	7834.6	8073.4	8312.2	8551.0	8701.8	8852.6	9003.4	9154.2	9305.0	9884.0	10286.0	10634.0	10868.0	10704.0	10394.0	10454.0	10412.0
Egypt	5898.0	5974.8	6051.6	6128.4	6205.2	6282.0	6526.4	6770.8	7015.2	7259.6	7504.0	7630.6	7757.2	7883.8	8010.4	8137.0	8513.4	8889.8	9266.2	9642.6	10019.0	9983.0	9982.0	9971.0	10032.0	10243.0	10461.0	10673.0	11014.0
El Salvador	4512.0	4674.4	4836.8	4999.2	5161.6	5324.0	5381.6	5439.2	5496.8	5554.4	5612.0	5667.2	5722.4	5777.6	5832.8	5888.0	5966.6	6045.2	6123.8	6202.4	6281.0	6493.0	6646.0	6764.0	6848.0	6979.0	7119.0	7247.0	7393.0
Equatorial Guinea	1018.0	1163.0	1308.0	1453.0	1598.0	1743.0	3582.0	5421.0	7260.0	9099.0	10938.0	15090.0	19242.0	23394.0	27546.0	31698.0	32156.4	32614.8	33073.2	33531.6	33990.0	34622.0	35888.0	32959.0	31743.0	27709.0	24297.0	22299.0	20865.0
Eritrea	2224.0	2224.0	2224.0	2224.0	2224.0	2224.0	2276.2	2328.4	2380.6	2432.8	2485.0	2445.4	2405.8	2366.2	2326.6	2287.0	2222.0	2157.0	2092.0	2027.0	1962.0	2103.0	2103.0	2103.0	2103.0	2103.0	2103.0	2103.0	2103.0
Estonia	11362.0	11362.0	11362.0	11362.0	11362.0	11362.0	12230.2	13098.4	13966.6	14834.8	15703.0	17123.8	18544.6	19965.4	21386.2	22807.0	22793.8	22780.6	22767.4	22754.2	22741.0	24543.0	25692.0	26283.0	27113.0	27610.0	28565.0	29916.0	30991.0
